# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
"# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); "
"# UG       = Etmaalgemiddelde relatieve vochtigheid (in procenten); "
# 
# STN,YYYYMMDD,   UG
# 
  260,20180930,   77
  260,20181001,   82
  260,20181002,   84
  260,20181003,   73
  260,20181004,   82
  260,20181005,   83
  260,20181006,   83
  260,20181007,   79
  260,20181008,   84
  260,20181009,   84
  260,20181010,   74
  260,20181011,   73
  260,20181012,   76
  260,20181013,   69
  260,20181014,   70
  260,20181015,   76
  260,20181016,   80
  260,20181017,   88
  260,20181018,   82
  260,20181019,   83
  260,20181020,   87
  260,20181021,   79
  260,20181022,   81
  260,20181023,   78
  260,20181024,   89
  260,20181025,   86
  260,20181026,   87
  260,20181027,   83
  260,20181028,   74
  260,20181029,   85
  260,20181030,   92
  260,20181031,   80
  260,20181101,   82
  260,20181102,   82
  260,20181103,   90
  260,20181104,   90
  260,20181105,   94
  260,20181106,   78
  260,20181107,   82
  260,20181108,   83
  260,20181109,   87
  260,20181110,   90
  260,20181111,   87
  260,20181112,   95
  260,20181113,   86
  260,20181114,   90
  260,20181115,   88
  260,20181116,   96
  260,20181117,   79
  260,20181118,   69
  260,20181119,   80
  260,20181120,   73
  260,20181121,   81
  260,20181122,   84
  260,20181123,   88
  260,20181124,   94
  260,20181125,   93
  260,20181126,   86
  260,20181127,   86
  260,20181128,   91
  260,20181129,   87
  260,20181130,   83
  260,20181201,   92
  260,20181202,   95
  260,20181203,   88
  260,20181204,   85
  260,20181205,   93
  260,20181206,   95
  260,20181207,   89
  260,20181208,   81
  260,20181209,   81
  260,20181210,   81
  260,20181211,   88
  260,20181212,   90
  260,20181213,   89
  260,20181214,   86
  260,20181215,   73
  260,20181216,   98
  260,20181217,   94
  260,20181218,   87
  260,20181219,   86
  260,20181220,   90
  260,20181221,   90
  260,20181222,   85
  260,20181223,   95
  260,20181224,   87
  260,20181225,   77
  260,20181226,   89
  260,20181227,   90
  260,20181228,   95
  260,20181229,   88
  260,20181230,   90
  260,20181231,   93
  260,20190101,   77
