# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI);
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.;
# ;
# ;
# STN      LON(east)   LAT(north)     ALT(m)  NAME;
# 260:         5.180       52.100       1.90  DE BILT;
# ;
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# TN       = Minimum temperatuur (in 0.1 graden Celsius);
# ;
# STN,YYYYMMDD,   TN;
# ;
  260,20001004,   92;
  260,20001005,   84;
  260,20001006,   49;
  260,20001007,   39;
  260,20001008,   55;
  260,20001009,   30;
  260,20001010,   77;
  260,20001011,   78;
  260,20001012,   88;
  260,20001013,   67;
  260,20001014,   62;
  260,20001015,   78;
  260,20001016,  107;
  260,20001017,   41;
  260,20001018,   45;
  260,20001019,   40;
  260,20001020,   36;
  260,20001021,  121;
  260,20001022,  104;
  260,20001023,  112;
  260,20001024,  114;
  260,20001025,   87;
  260,20001026,   76;
  260,20001027,   77;
  260,20001028,  116;
  260,20001029,   81;
  260,20001030,   79;
  260,20001031,   73;
  260,20001101,   58;
  260,20001102,   53;
  260,20001103,   52;
  260,20001104,   38;
  260,20001105,   39;
  260,20001106,   70;
  260,20001107,   65;
  260,20001108,   69;
  260,20001109,   71;
  260,20001110,   53;
  260,20001111,   58;
  260,20001112,   79;
  260,20001113,   59;
  260,20001114,   16;
  260,20001115,   36;
  260,20001116,   51;
  260,20001117,   21;
  260,20001118,   30;
  260,20001119,   76;
  260,20001120,   39;
  260,20001121,   39;
  260,20001122,   61;
  260,20001123,   42;
  260,20001124,   44;
  260,20001125,   41;
  260,20001126,   62;
  260,20001127,   44;
  260,20001128,   72;
  260,20001129,   94;
  260,20001130,   86;
  260,20001201,   97;
  260,20001202,   81;
  260,20001203,   43;
  260,20001204,   39;
  260,20001205,   64;
  260,20001206,   83;
  260,20001207,   74;
  260,20001208,   99;
  260,20001209,   74;
  260,20001210,   71;
  260,20001211,   95;
  260,20001212,  122;
  260,20001213,   92;
  260,20001214,   52;
  260,20001215,   38;
  260,20001216,   31;
  260,20001217,   -5;
  260,20001218,    6;
  260,20001219,    8;
  260,20001220,    3;
  260,20001221,  -22;
  260,20001222,  -47;
  260,20001223,  -66;
  260,20001224,    0;
  260,20001225,  -38;
  260,20001226,  -46;
  260,20001227,  -16;
  260,20001228,  -20;
  260,20001229,  -13;
  260,20001230,   -7;
  260,20001231,  -45;
  260,20010101,   10;
  260,20010102,   56;
  260,20010103,   45;
  260,20010104,   58;
  260,20010105,   62;
  260,20010106,   41;
  260,20010107,   36;
  260,20010108,   13;
  260,20010109,   11;
  260,20010110,    5;
  260,20010111,  -18;
  260,20010112,  -37;
  260,20010113,  -32;
  260,20010114,  -53;
  260,20010115,  -48;
  260,20010116,  -64;
  260,20010117,  -90;
  260,20010118,  -88;
  260,20010119,  -13;
  260,20010120,  -10;
  260,20010121,  -18;
  260,20010122,    6;
  260,20010123,   48;
  260,20010124,   30;
  260,20010125,   30;
  260,20010126,   26;
  260,20010127,   30;
  260,20010128,   14;
  260,20010129,  -11;
  260,20010130,  -29;
  260,20010131,   -2;
  260,20010201,  -16;
  260,20010202,   -1;
  260,20010203,   -5;
  260,20010204,   -2;
  260,20010205,   79;
  260,20010206,   86;
  260,20010207,   90;
  260,20010208,   27;
  260,20010209,  -24;
  260,20010210,  -32;
  260,20010211,   50;
  260,20010212,   58;
  260,20010213,   10;
  260,20010214,   -3;
  260,20010215,  -16;
  260,20010216,  -16;
  260,20010217,    9;
  260,20010218,   -2;
  260,20010219,   28;
  260,20010220,   21;
  260,20010221,   30;
  260,20010222,   19;
  260,20010223,   -7;
  260,20010224,  -38;
  260,20010225,  -26;
  260,20010226,   -4;
  260,20010227,   -3;
  260,20010228,   11;
  260,20010301,    8;
  260,20010302,  -21;
  260,20010303,  -36;
  260,20010304,  -15;
  260,20010305,  -16;
  260,20010306,  -22;
  260,20010307,   37;
  260,20010308,   63;
  260,20010309,   73;
  260,20010310,   87;
  260,20010311,   88;
  260,20010312,   44;
  260,20010313,   37;
  260,20010314,    0;
  260,20010315,   -6;
  260,20010316,   51;
  260,20010317,   22;
  260,20010318,   17;
  260,20010319,  -28;
  260,20010320,  -39;
  260,20010321,   -1;
  260,20010322,    4;
  260,20010323,   44;
  260,20010324,   33;
  260,20010325,   19;
  260,20010326,   14;
  260,20010327,   12;
  260,20010328,   31;
  260,20010329,   37;
  260,20010330,   11;
  260,20010331,   21;
  260,20010401,   57;
  260,20010402,   53;
  260,20010403,   92;
  260,20010404,   64;
  260,20010405,   48;
  260,20010406,   91;
  260,20010407,   63;
  260,20010408,   36;
  260,20010409,   47;
  260,20010410,   77;
  260,20010411,   42;
  260,20010412,    7;
  260,20010413,  -15;
  260,20010414,  -43;
  260,20010415,   46;
  260,20010416,   44;
  260,20010417,   27;
  260,20010418,   22;
  260,20010419,   12;
  260,20010420,   -3;
  260,20010421,    1;
  260,20010422,  -22;
  260,20010423,    9;
  260,20010424,   23;
  260,20010425,   69;
  260,20010426,   82;
  260,20010427,   80;
  260,20010428,   69;
  260,20010429,   60;
  260,20010430,   89;
  260,20010501,   74;
  260,20010502,   61;
  260,20010503,   82;
  260,20010504,   59;
  260,20010505,   50;
  260,20010506,   63;
  260,20010507,   69;
  260,20010508,   53;
  260,20010509,  101;
  260,20010510,  120;
  260,20010511,  101;
  260,20010512,   99;
  260,20010513,  105;
  260,20010514,  109;
  260,20010515,   95;
  260,20010516,  108;
  260,20010517,   92;
  260,20010518,  102;
  260,20010519,   65;
  260,20010520,   37;
  260,20010521,   57;
  260,20010522,   66;
  260,20010523,   79;
  260,20010524,   93;
  260,20010525,   73;
  260,20010526,   76;
  260,20010527,  103;
  260,20010528,  155;
  260,20010529,  121;
  260,20010530,   83;
  260,20010531,   91;
  260,20010601,   77;
  260,20010602,   73;
  260,20010603,   68;
  260,20010604,   62;
  260,20010605,  109;
  260,20010606,  118;
  260,20010607,   93;
  260,20010608,   55;
  260,20010609,   28;
  260,20010610,   59;
  260,20010611,   63;
  260,20010612,   94;
  260,20010613,   67;
  260,20010614,   69;
  260,20010615,  122;
  260,20010616,  102;
  260,20010617,  132;
  260,20010618,  108;
  260,20010619,   56;
  260,20010620,   80;
  260,20010621,  110;
  260,20010622,  107;
  260,20010623,  109;
  260,20010624,   96;
  260,20010625,  117;
  260,20010626,  124;
  260,20010627,  166;
  260,20010628,  145;
  260,20010629,  144;
  260,20010630,  160;
  260,20010701,  136;
  260,20010702,  113;
  260,20010703,  128;
  260,20010704,  146;
  260,20010705,  163;
  260,20010706,  193;
  260,20010707,  177;
  260,20010708,  170;
  260,20010709,  138;
  260,20010710,  143;
  260,20010711,  127;
  260,20010712,  123;
  260,20010713,  115;
  260,20010714,  105;
  260,20010715,   85;
  260,20010716,   73;
  260,20010717,   86;
  260,20010718,  138;
  260,20010719,  132;
  260,20010720,   89;
  260,20010721,   86;
  260,20010722,  144;
  260,20010723,  149;
  260,20010724,  134;
  260,20010725,  132;
  260,20010726,  143;
  260,20010727,  158;
  260,20010728,  142;
  260,20010729,  138;
  260,20010730,  165;
  260,20010731,  146;
  260,20010801,  135;
  260,20010802,  118;
  260,20010803,  137;
  260,20010804,  113;
  260,20010805,  105;
  260,20010806,  102;
  260,20010807,  151;
  260,20010808,  137;
  260,20010809,  110;
  260,20010810,  101;
  260,20010811,   88;
  260,20010812,  145;
  260,20010813,  169;
  260,20010814,  140;
  260,20010815,  167;
  260,20010816,  119;
  260,20010817,  109;
  260,20010818,  151;
  260,20010819,  168;
  260,20010820,  119;
  260,20010821,   95;
  260,20010822,  145;
  260,20010823,  177;
  260,20010824,  174;
  260,20010825,  161;
  260,20010826,  183;
  260,20010827,  101;
  260,20010828,   78;
  260,20010829,   78;
  260,20010830,  102;
  260,20010831,  136;
  260,20010901,   95;
  260,20010902,   93;
  260,20010903,  128;
  260,20010904,  119;
  260,20010905,  125;
  260,20010906,  128;
  260,20010907,  126;
  260,20010908,   84;
  260,20010909,   91;
  260,20010910,  112;
  260,20010911,  112;
  260,20010912,  131;
  260,20010913,   86;
  260,20010914,   90;
  260,20010915,   96;
  260,20010916,   67;
